Product,Quantity Ordered,Price Each,price
USB-C Charging Cable,2,11.95,23.9
Bose SoundSport Headphones,1,99.99,99.99
Google Phone,1,600,600
Wired Headphones,1,11.99,11.99
Wired Headphones,1,11.99,11.99
USB-C Charging Cable,1,11.95,11.95
Bose SoundSport Headphones,1,99.99,99.99
USB-C Charging Cable,1,11.95,11.95
Macbook Pro Laptop,1,1700,1700
Wired Headphones,1,11.99,11.99
Google Phone,1,600,600
Lightning Charging Cable,1,14.95,14.95
27in 4K Gaming Monitor,1,389.99,389.99
AA Batteries (4-pack),1,3.84,3.84
Lightning Charging Cable,1,14.95,14.95
Apple Airpods Headphones,1,150,150
USB-C Charging Cable,1,11.95,11.95
Google Phone,1,600,600
USB-C Charging Cable,1,11.95,11.95
AAA Batteries (4-pack),1,2.99,2.99
Apple Airpods Headphones,1,150,150
Apple Airpods Headphones,1,150,150
Apple Airpods Headphones,1,150,150
AA Batteries (4-pack),1,3.84,3.84
USB-C Charging Cable,1,11.95,11.95
iPhone,1,700,700
Bose SoundSport Headphones,1,99.99,99.99
AAA Batteries (4-pack),2,2.99,5.98
Flatscreen TV,1,300,300
Bose SoundSport Headphones,1,99.99,99.99
Bose SoundSport Headphones,1,99.99,99.99
AAA Batteries (4-pack),2,2.99,5.98
Google Phone,1,600,600
27in FHD Monitor,1,149.99,149.99
20in Monitor,1,109.99,109.99
Lightning Charging Cable,1,14.95,14.95
Google Phone,1,600,600
Apple Airpods Headphones,1,150,150
USB-C Charging Cable,1,11.95,11.95
Lightning Charging Cable,2,14.95,29.9
Wired Headphones,1,11.99,11.99
Wired Headphones,3,11.99,35.97
Apple Airpods Headphones,1,150,150
USB-C Charging Cable,1,11.95,11.95
AAA Batteries (4-pack),2,2.99,5.98
Lightning Charging Cable,1,14.95,14.95
27in 4K Gaming Monitor,1,389.99,389.99
USB-C Charging Cable,1,11.95,11.95
Lightning Charging Cable,1,14.95,14.95
USB-C Charging Cable,1,11.95,11.95
USB-C Charging Cable,1,11.95,11.95
USB-C Charging Cable,1,11.95,50
LG Dryer,1,600,600
AAA Batteries (4-pack),2,2.99,5.98
iPhone,1,700,700
Apple Airpods Headphones,1,150,150
AAA Batteries (4-pack),1,2.99,2.99
Bose SoundSport Headphones,1,99.99,99.99
Apple Airpods Headphones,1,150,150
USB-C Charging Cable,2,11.95,23.9
AA Batteries (4-pack),1,3.84,3.84
Lightning Charging Cable,1,14.95,14.95
USB-C Charging Cable,1,11.95,11.95
Apple Airpods Headphones,1,150,150
Lightning Charging Cable,2,14.95,29.9
Flatscreen TV,1,300,50
USB-C Charging Cable,1,11.95,11.95
